taille,temps_ABR,temps_Remy,largeur_ABR,largeur_Remy,hauteur_ABR,hauteur_Remy,taille_ssarbre_g_ABR,taille_ssarbre_g_Remy,prof_moy_ABR,prof_moy_Remy
1000,0.000932,0.001229,241,51,21,105,934,937,12.969151,55.251429
2000,0.001469,0.001882,450,73,24,152,1677,2145,14.316847,76.722329
3000,0.002195,0.002920,663,94,26,182,2842,2997,15.056568,96.275701
4000,0.003160,0.004629,854,109,27,209,4143,4474,15.634784,108.075964
5000,0.002977,0.004362,1042,124,28,238,4552,5056,16.232194,121.929988
6000,0.003170,0.004763,1228,128,29,271,6173,6187,16.520612,139.107187
7000,0.002809,0.004630,1436,142,29,293,7045,7372,16.840680,148.306222
8000,0.003428,0.005356,1639,150,30,306,8222,7524,17.007055,155.779701
9000,0.003706,0.005887,1820,161,30,323,9722,8801,17.399415,163.650699
10000,0.003972,0.006515,1965,176,31,332,9486,8991,17.703815,168.479026
11000,0.006057,0.008640,2186,179,31,363,11302,10061,17.772568,185.886701
12000,0.006059,0.009112,2325,183,32,384,12041,9620,18.092229,193.454725
13000,0.006811,0.009675,2559,196,32,396,13265,11408,18.072554,199.724618
14000,0.006756,0.009786,2702,204,32,402,14539,14333,18.278329,202.916673
15000,0.007435,0.010372,2910,210,32,415,14392,14527,18.381225,211.149163
16000,0.008041,0.011687,3109,214,32,455,16407,12484,18.541291,228.708919
17000,0.008738,0.014007,3313,224,32,445,16564,16427,18.533379,224.792030
18000,0.009222,0.014379,3445,226,33,462,19143,15799,18.735892,232.965846
19000,0.009956,0.014582,3710,237,33,466,19232,18647,18.731019,235.139847
20000,0.012304,0.017374,3827,242,33,496,21045,21611,18.903702,248.732159
21000,0.012265,0.017125,3944,243,34,517,20986,20837,19.089041,265.232016
22000,0.012382,0.017911,4176,261,34,508,23213,21372,19.108330,255.103212
23000,0.014980,0.021473,4304,262,34,517,22924,24932,19.316644,260.362047
24000,0.021800,0.031722,4504,269,34,528,25776,26471,19.394001,272.035738
25000,0.018027,0.025608,4788,260,34,570,26450,22977,19.304239,286.529907
26000,0.019639,0.025829,4945,270,34,564,26507,25513,19.430195,285.018512
27000,0.018293,0.023209,5085,295,35,557,27446,22228,19.550315,286.235748
28000,0.019076,0.024268,5231,286,35,572,27300,26915,19.619188,290.969031
29000,0.018174,0.023363,5425,299,35,595,27994,33047,19.666977,303.262220
30000,0.020166,0.026153,5626,301,35,597,32583,29334,19.769219,306.967957
31000,0.019921,0.025983,5818,302,35,621,32092,28264,19.792719,306.476772
32000,0.020653,0.026849,6027,311,35,635,29639,27366,19.799389,320.119830
33000,0.023546,0.030623,6072,312,35,645,32364,35667,19.993896,331.413835
34000,0.026018,0.031290,6318,312,36,652,37242,36599,19.987747,332.768248
35000,0.027934,0.034042,6445,307,36,682,35046,41367,20.167971,346.647919
36000,0.031557,0.040497,6634,318,36,672,32299,39569,20.179494,345.663255
37000,0.028535,0.036557,6938,328,36,666,35885,47203,20.047771,340.765949
38000,0.028822,0.035911,7034,334,36,676,37414,43090,20.188860,334.781844
39000,0.029519,0.037647,7038,351,37,690,36664,41815,20.395464,342.047343
40000,0.028755,0.035967,7363,348,36,703,37226,42385,20.339346,362.494074
41000,0.031099,0.036245,7517,344,36,719,41420,39442,20.384526,367.573724
42000,0.030999,0.035636,7703,351,37,717,38503,43875,20.451697,358.708910
43000,0.031401,0.038104,7839,352,37,737,43235,43970,20.510026,377.247106
44000,0.034071,0.042026,8057,357,37,726,43594,45600,20.541736,374.495878
45000,0.032320,0.038863,8237,363,37,741,39874,41419,20.562096,368.157520
46000,0.035019,0.043184,8320,373,37,748,50001,54988,20.699658,381.198163
47000,0.037329,0.046370,8513,375,37,757,49125,48447,20.674198,382.170709
48000,0.042796,0.049531,8716,373,37,761,48822,44198,20.703471,386.952078
49000,0.038667,0.045450,8935,376,37,776,50475,52958,20.654797,389.606810
50000,0.040784,0.047979,8994,380,37,791,48761,47187,20.804085,393.840442
51000,0.040680,0.048160,9114,372,38,819,48968,53046,21.027063,418.414148
52000,0.041304,0.048972,9456,399,37,812,50953,58171,20.855469,413.803701
53000,0.042800,0.053296,9551,405,38,777,52807,54048,20.935281,397.707912
54000,0.044208,0.054073,9790,392,38,821,54819,54375,20.931367,413.437238
55000,0.043603,0.050471,9914,408,38,809,56532,52839,20.990947,414.058335
56000,0.046213,0.054402,10131,387,38,829,56343,57130,20.968101,418.716443
57000,0.046059,0.053416,10240,406,38,854,58613,52475,20.987407,426.778417
58000,0.049244,0.057264,10357,410,38,859,61338,56863,21.154847,439.017041
59000,0.050754,0.061106,10654,417,38,859,65509,49148,21.127979,440.186640
60000,0.052185,0.063307,10664,423,38,860,59951,64055,21.211516,432.940001
61000,0.050189,0.059211,10934,437,38,851,59664,46320,21.179103,427.373050
62000,0.053300,0.061037,11194,432,38,850,58791,60872,21.170768,421.955005
63000,0.060275,0.069333,11440,439,38,884,56595,79797,21.202240,449.262454
64000,0.056855,0.067230,11453,450,38,861,61582,67894,21.272218,425.287565
65000,0.053617,0.063208,11618,446,38,886,66450,61113,21.306249,449.494828
66000,0.055602,0.065264,11901,454,38,878,67156,86654,21.321630,444.170030
67000,0.064541,0.077284,11966,451,38,900,60594,53652,21.471035,451.622421
68000,0.075637,0.082244,12128,465,39,892,67627,66406,21.409306,452.598917
69000,0.071804,0.083171,12460,461,39,921,66288,63147,21.337250,464.126302
70000,0.067428,0.076240,12469,435,39,957,65734,67558,21.450582,472.472993
71000,0.067709,0.078671,12725,464,39,898,68763,68133,21.455236,457.830821
72000,0.068870,0.078745,12937,472,38,940,73113,82081,21.430097,473.354917
73000,0.062853,0.075481,13035,471,39,948,66335,66081,21.481321,475.186393
74000,0.064570,0.075482,13275,477,39,942,78524,71071,21.473003,479.851376
75000,0.067696,0.076384,13353,456,39,984,75355,64212,21.564585,498.614115
76000,0.069413,0.080164,13483,493,39,941,74497,79253,21.613939,473.419616
77000,0.077702,0.090219,13660,471,39,996,73660,77052,21.719703,495.002360
78000,0.078973,0.090681,13826,511,39,952,69686,78106,21.651653,478.812455
79000,0.083673,0.097998,13871,472,40,1020,76986,75572,21.789975,512.202272
80000,0.075801,0.088653,14023,494,39,988,86589,80025,21.796330,498.989471
81000,0.080989,0.095422,14400,489,39,1039,80659,79749,21.787701,518.327353
82000,0.078181,0.088102,14502,492,39,997,79203,83356,21.837985,501.043187
83000,0.077434,0.089592,14814,499,39,1009,84143,74725,21.703513,504.172014
84000,0.079067,0.089769,15050,483,39,1051,78638,79483,21.693689,536.450960
85000,0.077089,0.087768,15096,506,39,1043,80903,85007,21.863184,516.166213
86000,0.080193,0.093236,15142,501,39,1036,83382,84863,21.816399,517.330422
87000,0.099719,0.114711,15328,532,39,1020,97063,85177,21.926186,509.707284
88000,0.087271,0.101617,15493,513,40,1025,82576,82683,21.925324,518.885122
89000,0.095914,0.109647,15759,514,40,1038,92784,87964,21.884847,527.990776
90000,0.095491,0.107681,15840,512,40,1078,73741,82006,21.956792,545.204972
91000,0.095629,0.108295,15986,537,40,1044,90339,96316,21.933224,527.997149
92000,0.096237,0.110190,16025,535,40,1062,86361,95432,22.121859,526.817325
93000,0.095887,0.110397,16353,545,40,1065,89369,92567,21.963189,541.529489
